m1.kg,m2.kg,mc.kg,x.m,t.s,source,trial
1.000,0.020,0.500,0.5,2.72,canada,1
1.000,0.020,0.500,0.5,2.63,canada,1
1.000,0.020,0.500,0.5,2.69,canada,1
1.000,0.020,0.500,0.5,2.57,canada,2
1.000,0.020,0.500,0.5,2.60,canada,2
1.000,0.020,0.500,0.5,2.53,canada,2
1.000,0.020,0.500,0.5,2.72,canada,3
1.000,0.020,0.500,0.5,2.68,canada,3
1.000,0.020,0.500,0.5,2.72,canada,3
2.000,0.020,0.500,0.5,3.53,canada,4
2.000,0.020,0.500,0.5,3.53,canada,4
2.000,0.020,0.500,0.5,3.53,canada,4
2.000,0.020,0.500,0.5,3.63,canada,5
2.000,0.020,0.500,0.5,3.65,canada,5
2.000,0.020,0.500,0.5,3.65,canada,5
2.000,0.020,0.500,0.5,3.59,canada,6
2.000,0.020,0.500,0.5,3.50,canada,6
2.000,0.020,0.500,0.5,3.42,canada,6
2.000,0.020,0.500,0.5,3.50,canada,7
2.000,0.020,0.500,0.5,3.56,canada,7
2.000,0.020,0.500,0.5,3.53,canada,7
3.000,0.020,0.500,0.5,4.56,canada,8
3.000,0.020,0.500,0.5,4.57,canada,8
3.000,0.020,0.500,0.5,4.53,canada,8
3.000,0.020,0.500,0.5,4.13,canada,9
3.000,0.020,0.500,0.5,4.15,canada,9
3.000,0.020,0.500,0.5,4.06,canada,9
3.000,0.020,0.500,0.5,4.34,canada,10
3.000,0.020,0.500,0.5,4.34,canada,10
3.000,0.020,0.500,0.5,4.38,canada,10
3.000,0.020,0.500,0.5,4.31,canada,11
3.000,0.020,0.500,0.5,4.25,canada,11
3.000,0.020,0.500,0.5,4.44,canada,11
3.000,0.020,0.500,0.5,4.25,canada,12
3.000,0.020,0.500,0.5,4.37,canada,12
3.000,0.020,0.500,0.5,4.25,canada,12
